FMID,MarketName,Website,Facebook,Facebook_Link,Twitter,Twitter_Link,Youtube,Youtube_Link,OtherMedia,OtherMedia_Link,street,street_valid,city,city_valid,County,County_valid,State,zip,zip_valid,full_address,Season1Date,Season1StartDate,Season1EndDate,Season1Time,Season2Date,Season2StartDate,Season2EndDate,Season2Time,Season3Date,Season3StartDate,Season3EndDate,Season3Time,Season4Date,Season4StartDate,Season4EndDate,Season4Time,longitude,latitude,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Organic_valid,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1012158,21 Acres Farm Market,http://21acres.org,https://www.facebook.com/21Acres/,https://www.facebook.com/21Acres/,@21acres,,21AcresCenter's channel,,Instagram @21acres,,13701 NE 171st Street,,Woodinville,Woodinville,King,King,Washington,98072,98072,,01/01/2016 to 12/31/2016,2016-01-01T00:00:00Z,2016-12-31T00:00:00Z,Wed: 11:00 AM-6:00 PM;Thu: 11:00 AM-6:00 PM;Fri: 11:00 AM-6:00 PM;Sat: 11:00 AM-6:00 PM;,,,,,,,,,,,,,-122.1569875,47.75023970000001,,Y,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,2016-06-30T19:50:56Z
1010873,21st Street Farmers Market,,,,,,,,,,SW 21st and Oakley,,Topeka,Topeka,Shawnee,Shawnee,Kansas,66604,66604,,06/05/2015 to 10/30/2015,2015-06-05T00:00:00Z,2015-10-30T00:00:00Z,Fri: 7:30 AM-12:00 PM;,,,,,,,,,,,,,-95.71451400000001,39.028184,,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,Y,N,N,N,N,N,2015-03-02T10:46:33Z
1005309,22nd and Tasker Farmers' Market,http://thefoodtrust.org/farmers-markets/market/22nd-tasker,,,,,,,,,22nd and Tasker Streets,,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Pennsylvania,19146,19146,,06/01/2015 to 11/01/2015,2015-06-01T00:00:00Z,2015-11-01T00:00:00Z,Tue: 2:00 PM-6:00 PM;,,,,,,,,,,,,,-75.181286,39.932257,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-03-24T14:29:42Z
1000709,22nd Annual Highlands Business Partnership Farmers Market,http://www.highlandsnj.com,https://www.facebook.com/pages/Highlands-Business-Partnership-Highlands-NJ/165486543524770,https://www.facebook.com/pages/Highlands-Business-Partnership-Highlands-NJ/165486543524770,,,,,,,71 Waterwitch Avenue,71 Waterwitch Avenue,Highlands,Highlands,Monmouth,Monmouth,New Jersey,07732,07732,"71 Waterwitch Avenue, Highlands, New Jersey 07732",06/25/2016 to 11/05/2016,2016-06-25T00:00:00Z,2016-11-05T00:00:00Z,Sat: 8:30 AM-2:00 PM;,,,,,,,,,,,,,-73.99435799999999,40.404837,,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,2016-07-06T14:37:36Z
1011881,25th Street Market - North Logan at the Library Summer 2016,http://northloganmarket.com,25th Street Market - North Logan at the Library,,,,,,Instagram: north logan market  (25th Street Market),,475 East 2500 North,,North Logan,North Logan,Cache,Cache,Utah,84341,84341,,05/07/2016 to 10/15/2016,2016-05-07T00:00:00Z,2016-10-15T00:00:00Z,Sun: 9:00 AM-1:00 PM;,,,,,,,,,,,,,-111.8206049,41.778243700000004,,Y,N,N,N,N,-,,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,Y,Y,N,Y,N,N,N,2016-04-18T10:33:41Z
1010966,26th and Allegheny,http://thefoodtrust.org/farmers-markets/market/26th-Allegheny,,,,,,,,,26th Street and W Allegheny Avenue,,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Pennsylvania,19129,19129,,06/01/2015 to 11/15/2015,2015-06-01T00:00:00Z,2015-11-15T00:00:00Z,Wed: 1:00 PM-5:00 PM;,,,,,,,,,,,,,-75.17228829999999,40.0040946,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-03-24T15:17:20Z
1005299,29th and Wharton Farmers' Market,http://thefoodtrust.org/farmers-markets/market/29th-wharton,,,,,,,,,29th and Wharton Streets,,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Pennsylvania,19146,19146,,06/01/2015 to 11/15/2015,2015-06-01T00:00:00Z,2015-11-15T00:00:00Z,Tue: 2:00 PM-6:00 PM;,,,,,,,,,,,,,-75.19204,39.9373,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-03-24T14:47:10Z
1010994,2nd Street Farmers' Market,http://secondstageAmherst.org,second stage of AMherst,,,,,,,,194 second street,194 second street,Amherst,Amherst,Amherst,Amherst,Virginia,24521,24521,"194 second street, Amherst, Virginia 24521",05/05/2016 to 09/01/2016,2016-05-05T00:00:00Z,2016-09-01T00:00:00Z,Thu: 3:30 PM-6:30 PM;,,,,,,,,,,,,,-79.048573,37.583311,,Y,N,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,Y,2016-03-04T13:51:55Z
1009959,2nd Street Market - Five Rivers MetroPark,http://www.metroparks.org,https://www.facebook.com/2ndStreetMarket/,https://www.facebook.com/2ndStreetMarket/,,,,,,,600 E. 2nd Street,,Dayton,Dayton,Montgomery,Montgomery,Ohio,45402,45402,,01/01/2016 to 12/31/2016,2016-01-01T00:00:00Z,2016-12-31T00:00:00Z,Thu: 11:00 AM-3:00 PM;Fri: 11:00 AM-3:00 PM;Sat: 8:00 AM-3:00 PM;,,,,,,,,,,,,,-84.18103,39.762593,,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,2016-06-30T14:35:22Z
1004950,3 French Hens French Country Market,http://www.3frenchhensmarket.blogspot.com,https://www.facebook.com/pages/3-French-Hens-French-Country-Market/422352511143508,https://www.facebook.com/pages/3-French-Hens-French-Country-Market/422352511143508,,,,,,,123 W. Illinois ave. ,123 W. Illinois,Morris,Morris,Grundy,Grundy,Illinois,60450,60450,"123 W. Illinois, Morris, Illinois 60450",05/10/2014 to 10/11/2014,2014-05-10T00:00:00Z,2014-10-11T00:00:00Z,Sat: 8:00 AM-2:00 PM;,11/14/2014 to 11/15/2014,2014-11-14T00:00:00Z,2014-11-15T00:00:00Z,Fri: 4:30 PM-10:00 PM;Sat: 9:00 AM-3:00 PM;,,,,,,,,,-88.425186,41.356383,Other,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,2014-04-04T23:58:41Z
1010775,30A Farmers' Market,,https://www.facebook.com/30aFarmersMarket?ref=hl,https://www.facebook.com/30aFarmersMarket?ref=hl,,,,,,,Rosmary Beach Town Center,,Rosemary Beach,Rosemary Beach,Walton,Walton,Florida,32461,32461,,01/18/2015 to 01/05/2020,2015-01-18T00:00:00Z,2020-01-05T00:00:00Z,Sun: 9:00 AM-1:00 PM;,,,,,,,,,,,,,-86.00275400000001,30.279017,,Y,N,N,N,N,-,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,2015-01-16T18:38:15Z
1018656,31 & Main Farmers Market at Campus Town,http://www.31mainfarmersmarket.com,https://www.facebook.com/31mainfarmersmarket/,https://www.facebook.com/31mainfarmersmarket/,https://www.twitter.com/31mainfarmmarkt	,https://www.twitter.com/31mainfarmmarkt	,,,https://www.instagram.com/31mainfarmersmarket ,https://www.instagram.com/31mainfarmersmarket ,1928 Pennington Road,1928 Pennington Road,Ewing,Ewing,Mercer,Mercer,New Jersey,08618,08618,"1928 Pennington Road, Ewing, New Jersey 08618",06/11/2017 to 10/29/2017,2017-06-11T00:00:00Z,2017-10-29T00:00:00Z,Sun: 10:00 AM-2:00 PM;,,,,,,,,,,,,,-74.783289,40.268253,,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,2017-07-12T13:42:22Z
1005636,32nd Street/Waverly Farmers Market,http://www.32ndstreetmarket.org,https://www.facebook.com/pages/Baltimores-32nd-Street-Farmers-Market/194872083921466?sk=wall,https://www.facebook.com/pages/Baltimores-32nd-Street-Farmers-Market/194872083921466?sk=wall,,,,,,,E. 32nd & Barclay Street,,Baltimore,Baltimore,Baltimore,Baltimore,Maryland,21218,21218,,01/01/2013 to 12/31/2013,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,Sat: 7:00 AM-12:00 PM;,,,,,,,,,,,,,-76.611,39.3272,Closed-off public street,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,2014-03-14T13:23:50Z
1005310,33rd and Diamond Farmers' Market,http://thefoodtrust.org/farmers-markets/market/33rd-diamond,,,,,,,,,N 33rd and Diamond Streets,,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Pennsylvania,19121,19121,,06/01/2015 to 11/01/2015,2015-06-01T00:00:00Z,2015-11-01T00:00:00Z,Thu: 2:00 PM-6:00 PM;,,,,,,,,,,,,,-75.187167,39.988802,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-03-24T14:28:01Z
1018389,38th & Meridian Farmer's Market ,,,,,,,,,,3808 N Meridian St,3808 N Meridian,Indianapolis,Indianapolis,Marion,Marion,Indiana,46208,46208,"3808 N Meridian, Indianapolis, Indiana 46208",06/01/2017 to 09/21/2017,2017-06-01T00:00:00Z,2017-09-21T00:00:00Z,Thu: 4:00 PM-6:30 PM;,,,,,,,,,,,,,-86.1575468,39.8255595,,Y,N,Y,N,Y,-,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,2017-06-26T08:19:14Z
1012280,39 North Marketplace,http://www.39northdowntown.com,39 North ,,39North Downtown,,,,,,Downtown Sparks Victorian Ave,,Sparks,Sparks,Washoe,Washoe,Nevada,89431,89431,,06/09/2016 to 08/18/2016,2016-06-09T00:00:00Z,2016-08-18T00:00:00Z,Thu: 4:00 PM-9:00 PM;,,,,,,,,,,,,,-119.754962,39.534773,,Y,Y,Y,Y,N,-,,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,2016-07-06T17:19:49Z
1004414,3rd & Curry St. Farmers Market,http://www.carsonfarmersmarket.com,,,,,,,,,3rd & Curry Street,,Carson City,Carson City,Carson City,Carson City,Nevada,89703,89703,,June to September,,,Sat:8:30 AM - 1:30 PM;,,,,,,,,,,,,,-119.7678,39.16257,Local government building grounds,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,2012-05-18T16:12:09Z
1011213,441 Ministries Farm Stand,,,,,,,,,,441 Parsells Avenue,441 Parsells Avenue,Rochester,Rochester,Monroe,Monroe,New York,14609,14609,"441 Parsells Avenue, Rochester, New York 14609",,,,Tue: 3:00 PM-7:00 PM;,,,,,,,,,,,,,-77.5666043,43.1658344,,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-06-08T09:22:25Z
1010965,4th and Lehigh Farmers' Market,http://thefoodtrust.org/farmers-markets/market/fairhill-square,,,,,,,,,N 4th Street and W. Lehigh Avenue,,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Pennsylvania,19133,19133,,06/01/2015 to 11/22/2015,2015-06-01T00:00:00Z,2015-11-22T00:00:00Z,Tue: 1:00 PM-5:00 PM;,,,,,,,,,,,,,-75.138654,39.991748,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-03-24T15:11:40Z
1006234,4th Street Farmers Market,http://www.4thstreetfarmersmarket.com,,,,,,,,,315 East 4th St.,,Larimer,Larimer,,,Colorado,,,,,,,,,,,,,,,,,,,,-105.073,40.3954,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-01-01T01:00:00Z
1006494,52 & Shadeland Avenue Farmers Market,,,,,,,,,,5200 N. Shadeland Avenue,5200 N. Shadeland,Indianapolis,Indianapolis,,,Indiana,46226,46226,"5200 N. Shadeland, Indianapolis, Indiana 46226",,,,,,,,,,,,,,,,,-86.0476,39.8481,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-01-01T01:00:00Z
1005304,52nd and Haverford Farmers' Market,http://thefoodtrust.org/farmers-markets/market/52nd-haverford,,,,,,,,,N 52nd Street and Haverford Avenue,,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Pennsylvania,19139,19139,,06/01/2015 to 11/15/2015,2015-06-01T00:00:00Z,2015-11-15T00:00:00Z,Wed: 1:00 PM-5:00 PM;,,,,,,,,,,,,,-75.224492,39.965053999999995,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-03-24T14:38:14Z
1000060,57th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,https://www.facebook.com/ManhattanGreenmarkets,,,,,,,W 57 St. & 9 Ave,,New York,New York,New York,New York,New York,10019,10019,,04/20/2013 to 12/21/2013,2013-04-20T00:00:00Z,2013-12-21T00:00:00Z,Wed: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;,,,,,,,,,,,,,-73.985839,40.768159000000004,Other,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,2013-07-24T11:06:00Z
1005306,58th and Chester Farmers' Market,http://thefoodtrust.org/farmers-markets/market/58th-chester,,,,,,,,,58th Street and Chester Avenue,,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Pennsylvania,19143,19143,,06/01/2015 to 11/01/2015,2015-06-01T00:00:00Z,2015-11-01T00:00:00Z,Wed: 2:00 PM-6:00 PM;,,,,,,,,,,,,,-75.228303,39.935721,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-03-24T14:35:04Z
